月份顺序排序	正式指标	正式数值
201506	商品进出口总额[S]	337487
201401	商品进出口贸易差额[S]	32022.7
201402	商品进出口贸易差额[S]	-22569.0
201403	商品进出口贸易差额[S]	7984.7
201404	商品进出口贸易差额[S]	18663.7
201405	商品进出口贸易差额[S]	36239.4
201406	商品进出口贸易差额[S]	31894.2
201407	商品进出口贸易差额[S]	47353.0
201408	商品进出口贸易差额[S]	49876.1
201409	商品进出口贸易差额[S]	31213.3
201410	商品进出口贸易差额[S]	45699.4
201411	商品进出口贸易差额[S]	54764.6
201412	商品进出口贸易差额[S]	49916.1
201501	商品进出口贸易差额[S]	60043.5
201502	商品进出口贸易差额[S]	60560.5
201503	商品进出口贸易差额[S]	3110.5
201504	商品进出口贸易差额[S]	34018.9
201505	商品进出口贸易差额[S]	58867.4
201506	商品进出口贸易差额[S]	46536
201402	商品进出口总额同比增长[S]	-5.0
201403	商品进出口总额同比增长[S]	-9.1
201404	商品进出口总额同比增长[S]	0.7
201405	商品进出口总额同比增长[S]	3.0
201406	商品进出口总额同比增长[S]	6.3
201407	商品进出口总额同比增长[S]	6.8
201408	商品进出口总额同比增长[S]	3.9
201409	商品进出口总额同比增长[S]	11.3
201410	商品进出口总额同比增长[S]	8.4
201411	商品进出口总额同比增长[S]	-0.5
201412	商品进出口总额同比增长[S]	4.0
201502	商品进出口总额同比增长[S]	10.8
201503	商品进出口总额同比增长[S]	-13.9
201504	商品进出口总额同比增长[S]	-11.1
201505	商品进出口总额同比增长[S]	-9.5
201506	商品进出口总额同比增长[S]	-1.2
201401	商品进出口总额[S]	382394.9439
201402	商品进出口总额[S]	251176.1818
201403	商品进出口总额[S]	332512.6813
201404	商品进出口总额[S]	358628.5245
201405	商品进出口总额[S]	355024.1098
201406	商品进出口总额[S]	342012.378
201407	商品进出口总额[S]	378481.575
201408	商品进出口总额[S]	367095.2508
201409	商品进出口总额[S]	396411.57
201410	商品进出口总额[S]	368327.9428
201411	商品进出口总额[S]	368848.9604
201412	商品进出口总额[S]	405413.2125
201501	商品进出口总额[S]	340484.1851
201502	商品进出口总额[S]	277762.0963
201503	商品进出口总额[S]	286055.898
201504	商品进出口总额[S]	318527.1515
201505	商品进出口总额[S]	321247.7139
201401	商品进出口总额同比增长[S]	10.3
201501	商品进出口总额同比增长[S]	-10.9
201401	果蔬汁出口额[S]	88861
201402	果蔬汁出口额[S]	56382
201403	果蔬汁出口额[S]	66597
201404	果蔬汁出口额[S]	70513
201405	果蔬汁出口额[S]	78792
201406	果蔬汁出口额[S]	61639
201407	果蔬汁出口额[S]	57000
201408	果蔬汁出口额[S]	53313
201409	果蔬汁出口额[S]	58031
201410	果蔬汁出口额[S]	61655
201411	果蔬汁出口额[S]	58550
201412	果蔬汁出口额[S]	64697
201501	果蔬汁出口额[S]	58074
201502	果蔬汁出口额[S]	38300
201503	果蔬汁出口额[S]	44610
201504	果蔬汁出口额[S]	50321
201505	果蔬汁出口额[S]	52906
201401	橙汁出口额[S]	879
201402	橙汁出口额[S]	626
201403	橙汁出口额[S]	975
201404	橙汁出口额[S]	832
201405	橙汁出口额[S]	985
201406	橙汁出口额[S]	582
201407	橙汁出口额[S]	624
201408	橙汁出口额[S]	752
201409	橙汁出口额[S]	752
201410	橙汁出口额[S]	576
201411	橙汁出口额[S]	632
201412	橙汁出口额[S]	931
201501	橙汁出口额[S]	640
201502	橙汁出口额[S]	1038
201503	橙汁出口额[S]	573
201504	橙汁出口额[S]	763
201505	橙汁出口额[S]	699
